rainfall_date;mm;basin_id
2020-11-10;3355.714286;2070594040b
2020-11-11;3380.000000;2070594040b
2020-11-12;3404.285714;2070594040b
2020-11-13;3428.571429;2070594040b
2020-11-14;3452.857143;2070594040b
2020-11-15;3477.142857;2070594040b
2020-11-16;3501.428571;2070594040b
2020-11-17;3525.714286;2070594040b
2020-11-18;3550.000000;2070594040b
2020-11-19;3574.285714;2070594040b
2020-11-20;3598.571429;2070594040b
2020-11-21;3622.857143;2070594040b
2020-11-22;3647.142857;2070594040b
2020-11-23;3671.428571;2070594040b
2020-11-24;3695.714286;2070594040b
2020-11-25;3720.000000;2070594040b
2020-11-26;3744.285714;2070594040b
2020-11-27;3768.571429;2070594040b
2020-11-28;3792.857143;2070594040b
2020-11-29;3817.142857;2070594040b
2020-11-30;3841.428571;2070594040b
2020-12-01;3865.714286;2070594040b
2020-12-02;3890.000000;2070594040b
2020-12-03;3914.285714;2070594040b
2020-12-04;3938.571429;2070594040b
2020-12-05;3962.857143;2070594040b
2020-12-06;3987.142857;2070594040b
2020-12-07;4011.428571;2070594040b
2020-12-08;4035.714286;2070594040b
2020-12-09;4060.000000;2070594040b
2020-12-10;4084.285714;2070594040b
2020-12-11;4108.571429;2070594040b
2020-12-12;4132.857143;2070594040b
2020-12-13;6.7;2070594040b
2020-12-14;4.9;2070594040b
2020-12-15;5.7;2070594040b
2020-12-16;6.0;2070594040b
2020-12-17;4.8;2070594040b
2020-12-18;4.9;2070594040b
2020-12-19;5.6;2070594040b
2020-12-20;5.8;2070594040b
2020-12-21;6.1;2070594040b
2020-12-22;6.4;2070594040b
2020-12-23;5.6;2070594040b
2020-12-24;5.1;2070594040b
2020-12-25;5.6;2070594040b
2020-12-26;6.1;2070594040b
2020-12-27;5.6;2070594040b
2020-12-28;5.5;2070594040b
2020-12-29;6.7;2070594040b
2020-12-30;4.9;2070594040b
2020-12-31;5.7;2070594040b
2021-01-01;6.0;2070594040b
2021-01-02;4.8;2070594040b
2021-01-03;4.9;2070594040b
2021-01-04;5.6;2070594040b
2021-01-05;5.8;2070594040b
2021-01-06;6.1;2070594040b
2021-01-07;6.4;2070594040b
2021-01-08;5.6;2070594040b
2021-01-09;5.1;2070594040b
2021-01-10;5.6;2070594040b
2021-01-11;6.1;2070594040b
2021-01-12;5.6;2070594040b
2021-01-13;5.5;2070594040b
2021-01-14;6.7;2070594040b
2021-01-15;4.9;2070594040b
2021-01-16;5.7;2070594040b
2021-01-17;6.0;2070594040b
2021-01-18;4.8;2070594040b
